Costo de peajes,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,CDMX,Saltillo,Colima,Victoria de Durango,Guanajuato,Chilpancingo de los Bravo,Pachuca de Soto,Guadalajara,Toluca de Lerdo,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Heroica Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán Rosales,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa-Enríquez,Mérida,Zacatecas
Aguascalientes,,1588,1629,2738,2580,1153,1046,102,1168,177,364,1481.29,987,583,817,757,1290.95,1234,369,1757,1391,638,2442,53,1370,2178,2390,394,1353,1597,2737,44
Mexicali,1588,,0,2296.43,6060,354,4556,1490,3722,2243,3879,5001.97,4467,3108,4280,3866,4813.97,2457,382.04,5237,4872,3767,5922,1544,1240,242,1904.81,728.25,4833,5078,6218,1486
La Paz,1629,0,,5283,5125,26,3621,2524,2787,1452,2944,4066.97,3532,2317,3345,2931,3878.97,1666,2742,4302,3937,2832,4987,1585,305,549,4935,1902,3898,4143,5283,1527
San Francisco de Campeche,2738,2296.43,5283,,538,3280,1716,2328,3635,2304,2398,2091,1780,3050,1889,2436,1759,3701,2191,1543,1346,2028,0,2171,5108,5916,277,2191,1581.03,1256,0,2171
Tuxtla Gutiérrez,2580,6060,5125,538,,3122,1474,2170,3477,2146,2240,1933,1622,2808,1731,2278,1601,3459,1990,152,1188,1954,242,2013,4950,5758,190,2033,1423.03,1098,538,2013
Chihuahua,1153,354,26,3280,3122,,2269.52,1055,2398,0,1594,2711.29,2217,1813,2048,1987,2513.95,1696,1273,2979,2868,1109,3672,1109,26,490,3612,1273,2583,2828,3960,1051
CDMX,1046,4556,3621,1716,1474,2269.52,,647,1897,1329,659,328,65,1312,173,698,140,1963,832,651,286,374,1336,433,3370,4178,1284,861,262,881,1632,433
Saltillo,102,1490,2524,2328,2170,1055,647,,1339,1072,375,1142.29,648,754,479,745,832.48,2768,137,1320,955,214,2008,114,2265,3073,1956,137,1014,1259,2304,0
Colima,1168,3722,2787,3635,3477,2398,1897,1339,,2817,1212,2334.97,1800,386,1613,1199,2146.97,1121,1606,2570,2205,1100,3255,1192,2528,3336,3203,1533,2166,2411,3551,1289
Victoria de Durango,177,2243,1452,2304,2146,0,1329,1072,2817,,618,1735.29,1241,837,1072,1011,1541.37,1696,1290,2011,1646,133,2696,133,1193,2001,2644,450,1607,1852,2992,75
Guanajuato,364,3879,2944,2398,2240,1594,659,375,1212,618,,1057.29,563,626,394,333,869.29,1278,658,1333,968,214,2018,59,2685,3493,1966,483,929,1174,2314,485
Chilpancingo de los Bravo,1481.29,5001.97,4066.97,2091,1933,2711.29,328,1142.29,2334.97,1735.29,1057.29,,393,1748.72,617.72,1134.72,188,2399.72,1260.71,1026,661,1849,1711,763.71,3806.72,4614.72,1659,1203,730.03,1256,2007,763.71
Pachuca de Soto,987,4467,3532,1780,1622,2217,65,648,1800,1241,563,393,,1215,347,601,205,1866,735,715,350,1538,1400,336,3273,4081,1348,715,311,556,1696,336
Guadalajara,583,3108,2317,3050,2808,1813,1312,754,386,837,626,1748.72,1215,,1028,614,1561.97,651,1021,1985,1620,2808,2670,607,2058,2866,2618,854,1581,1826,2966,696
Toluca de Lerdo,817,4280,3345,1889,1731,2048,173,479,1613,1072,394,617.72,347,1028,,414,430.97,1679,566,824,459,108,1509,167,3086,3894,1457,395,435,1054,1805,167
Morelia,757,3866,2931,2436,2278,1987,698,745,1199,1011,333,1134.72,601,614,414,,947.97,1265,732,1371,1006,421,2056,333,2672,3480,2004,755,967,1212,2352,878
