Tiempo de conducción,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,CDMX,Saltillo,Colima,Victoria de Durango,Guanajuato,Chilpancingo de los Bravo,Pachuca de Soto,Guadalajara,Toluca de Lerdo,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Heroica Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán Rosales,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa-Enríquez,Mérida,Zacatecas
Aguascalientes,,29:31,29:16,26:19,18:46,12:07,7:25,11:19,8:44,6:55,1:56,13:58,8:03,2:58,7:07,5:10,9:25,5:55,12:45,14:46,9:33,5:01,33:09,5:11,14:49,25:03,17:23,12:01,9:38,12:21,29:50,2:03
Mexicali,28:56,,25:53,59:01,51:28,17:28,40:02,25:42,37:34,24:55,35:48,45:22,40:44,32:04,38:40,36:17,40:44,29:13,28:41,47:28,42:15,38:52,65:50,33:25,20:20,9:32,50:05,35:40,42:20,45:03,62:31,27:13
La Paz,30:03,25:40,,53:48,46:15,23:48,34:49,24:55,32:21,19:42,30:35,40:09,35:32,26:52,33:27,31:05,35:31,24:01,26:21,42:15,37:02,33:40,60:38,31:40,15:08,17:44,44:52,31:45,37:07,39:50,57:19,25:28
San Francisco de Campeche,25:17,59:09,54:03,,14:47,37:24,18:50,36:22,32:36,32:13,23:56,22:18,19:33,27:45,19:56,23:45,20:00,30:42,34:45,17:12,16:48,22:09,10:10,26:00,39:36,49:50,8:56,29:56,17:56,16:29,3:42,27:20
Tuxtla Gutiérrez,17:52,51:44,46:38,14:48,,29:59,11:25,28:57,25:11,24:47,16:31,14:53,12:07,20:20,12:31,16:20,12:35,23:17,27:20,9:13,9:23,14:44,22:14,18:35,32:11,42:25,5:52,22:31,10:31,9:04,18:19,19:55
Chihuahua,11:45,17:50,23:50,38:03,30:30,,19:08,8:31,20:28,7:51,13:40,25:42,19:46,14:42,18:50,16:53,21:08,17:03,9:57,26:30,21:17,16:44,44:52,16:14,13:14,10:03,29:07,15:21,21:21,24:05,41:33,10:02
CDMX,6:41,40:26,35:20,19:30,11:57,18:49,,13:02,13:52,13:37,5:21,6:22,3:25,9:02,1:20,5:02,1:48,11:58,14:14,7:57,2:44,3:33,26:20,7:25,20:53,31:07,10:34,15:57,2:43,6:01,23:01,8:45
Saltillo,7:10,26:11,24:53,37:22,29:49,8:47,12:42,,15:53,5:20,9:56,19:16,13:21,10:07,12:25,12:38,14:43,13:03,1:36,20:04,14:51,9:57,44:12,5:39,10:26,20:40,28:26,7:01,14:56,20:31,40:53,5:34
Colima,8:21,36:19,31:13,31:42,24:09,20:28,12:43,19:40,,16:33,8:53,15:59,13:26,5:14,11:21,8:59,13:25,7:52,21:07,20:09,14:56,10:57,38:32,12:06,16:46,27:00,22:46,18:57,15:01,17:44,35:13,10:24
Victoria de Durango,7:11,24:47,19:41,33:29,25:56,8:12,14:35,5:22,17:41,,9:06,21:08,15:13,10:08,14:17,12:20,16:35,9:21,6:49,21:56,16:43,12:11,40:19,11:41,5:14,15:28,24:33,12:13,16:48,19:31,37:00,5:28
